#datetime,temperature,humidity
2016-01-01T00:00:00,49,66
2016-01-01T00:53:00,49,64
2016-01-01T01:53:00,48,66
2016-01-01T02:53:00,48,63
2016-01-01T03:53:00,47,63
2016-01-01T04:53:00,46,66
2016-01-01T05:53:00,44,73
2016-01-01T06:00:00,44,68
2016-01-01T06:53:00,44,65
2016-01-01T07:53:00,45,63
2016-01-01T08:53:00,45,63
2016-01-01T09:53:00,46,63
2016-01-01T10:53:00,46,61
2016-01-01T11:53:00,47,61
2016-01-01T12:00:00,47,61
2016-01-01T12:53:00,47,61
2016-01-01T13:53:00,47,63
2016-01-01T14:53:00,47,59
2016-01-01T15:53:00,46,61
2016-01-01T16:53:00,47,59
2016-01-01T17:53:00,46,61
2016-01-01T18:00:00,46,61
2016-01-01T18:53:00,46,58
2016-01-01T19:53:00,46,58
2016-01-01T20:53:00,46,61
2016-01-01T21:53:00,46,56
2016-01-01T22:53:00,46,51
2016-01-01T23:53:00,45,58
2016-01-02T00:00:00,44,60
2016-01-02T00:53:00,45,61
2016-01-02T01:53:00,45,56
2016-01-02T02:53:00,46,54
2016-01-02T03:29:00,45,58
2016-01-02T03:53:00,45,58
2016-01-02T04:53:00,45,56
2016-01-02T05:53:00,45,56
2016-01-02T06:00:00,44,60
2016-01-02T06:53:00,44,65
2016-01-02T07:53:00,44,60
2016-01-02T08:53:00,45,61
2016-01-02T09:53:00,46,56
2016-01-02T10:53:00,46,54
2016-01-02T11:53:00,47,52
2016-01-02T12:00:00,46,56
2016-01-02T12:53:00,47,50
2016-01-02T13:53:00,48,48
2016-01-02T14:53:00,48,50
2016-01-02T15:53:00,47,61
2016-01-02T16:53:00,44,83
2016-01-02T17:53:00,44,93
2016-01-02T18:00:00,44,85
2016-01-02T18:53:00,44,89
2016-01-02T19:53:00,43,89
2016-01-02T20:53:00,43,93
2016-01-02T21:53:00,43,93
2016-01-02T22:53:00,43,93
2016-01-02T23:53:00,43,93
2016-01-03T00:00:00,42,96
2016-01-03T00:53:00,43,89
2016-01-03T01:53:00,43,86
2016-01-03T02:53:00,43,89
2016-01-03T03:53:00,43,89
2016-01-03T04:53:00,43,93
2016-01-03T05:53:00,43,93
2016-01-03T06:00:00,43,93
2016-01-03T06:53:00,43,93
2016-01-03T07:53:00,44,89
2016-01-03T08:53:00,47,83
2016-01-03T09:53:00,51,69
2016-01-03T10:53:00,53,64
2016-01-03T11:53:00,57,55
2016-01-03T12:00:00,53,66
2016-01-03T12:53:00,59,54
2016-01-03T13:53:00,59,51
2016-01-03T14:53:00,60,50
2016-01-03T15:53:00,61,50
2016-01-03T16:53:00,61,50
2016-01-03T17:53:00,53,64
2016-01-03T18:00:00,56,42
2016-01-03T18:53:00,48,58
2016-01-03T19:53:00,43,82
2016-01-03T20:53:00,39,89
2016-01-03T21:53:00,36,93
2016-01-03T22:53:00,35,96
2016-01-03T23:53:00,38,89
