clock,deviation
1602258460,0.000478
1602258461,0.000595
1602258462,0.000461
1602258463,0.000516
1602258464,0.000458
1602258465,0.000453
1602258466,0.000453
1602258467,0.000341
1602258468,0.000449
1602258469,0.000463
1602258470,0.000463
1602258471,0.000555
1602258472,0.000447
1602258473,0.000452
1602258474,0.000213
1602258475,0.000537
1602258476,0.000311
1602258477,0.000458
1602258478,0.00031
1602258479,0.000456
1602258480,0.000488
1602258481,0.00055
1602258482,0.000413
1602258483,0.000474
1602258484,0.000467
1602258485,-0.020958
1602258486,-0.999798
1602258487,-0.999698
1602258488,-0.999726
1602258489,-0.999649
1602258490,-0.999673
1602258491,-0.999664
1602258492,-0.999708
1602258493,-0.999656
1602258494,-0.9997
1602258495,-0.999673
1602258496,-0.999696
1602258497,-0.999709
1602258498,-0.999703
1602258499,-0.999687
1602258500,-0.999699
1602258501,-0.999738
1602258502,-0.999716
1602258503,-0.99972
1602258504,-0.999706
1602258505,-0.999693
1602258506,-0.999666
1602258507,-0.999574
1602258508,-0.999689
1602258509,-0.999743
1602258510,-0.999725
1602258511,-0.999699
1602258512,-0.999664
1602258513,-0.999688
1602258514,-0.999704
1602258515,-0.999699
1602258516,-1.02136
1602258517,-1.999638
1602258518,-1.999519
1602258519,-1.999656
1602258520,-1.999542
1602258521,-1.999542
1602258522,-1.999552
1602258523,-1.999544
1602258524,-1.999675
1602258525,-1.999543
1602258526,-1.999554
1602258527,-1.999522
1602258528,-1.99956
1602258529,-1.999551
1602258530,-1.999558
1602258531,-1.999549
1602258532,-1.999563
1602258533,-1.99947
1602258534,-1.99955
1602258535,-1.999549
1602258536,-1.999552
1602258537,-1.99953
1602258538,-1.999544
1602258539,-1.999528
1602258540,-1.999555
1602258541,-1.999385
1602258542,-1.999549
1602258543,-1.999462
1602258544,-1.999552
1602258545,-1.999514
1602258546,-1.999542
1602258547,-2.021006
1602258548,-2.999873
1602258549,-2.999717
1602258550,-2.999745
1602258551,-2.999808
1602258552,-2.999745
1602258553,-2.999788
1602258554,-2.999717
1602258555,-2.999675
1602258556,-2.999745
1602258557,-2.999719
1602258558,-2.999746
1602258559,-2.999734
1602258560,-2.999745
1602258561,-2.999722
1602258562,-2.999747
1602258563,-2.99973
1602258564,-2.999704
1602258565,-2.999742
1602258566,-2.999744
1602258567,-2.999621
1602258568,-2.999613
1602258569,-2.999742
1602258570,-2.999736
1602258571,-2.999713
1602258572,-2.999736
1602258573,-2.999746
1602258574,-2.999748
1602258575,-2.999835
1602258576,-2.999729
1602258577,-2.999724
1602258578,-3.021368
1602258579,-3.999586
1602258580,-3.999481
1602258581,-3.999475
1602258582,-3.999513
1602258583,-3.999628
1602258584,-3.999758
1602258585,-3.999475
1602258586,-3.999517
1602258587,-3.99953
1602258588,-3.999541
1602258589,-3.999508
1602258590,-3.999519
1602258591,-3.99951
1602258592,-3.999522
1602258593,-3.999552
1602258594,-3.999555
1602258595,-3.999524
1602258596,-3.999517
1602258597,-3.999498
1602258598,-3.999515
1602258599,-3.999517
1602258600,-3.999529
1602258601,-3.999563
1602258602,-3.999571
1602258603,-3.999527
1602258604,-3.999525
1602258605,-3.999479
1602258606,-3.999472
1602258607,-3.99954
1602258608,-3.999533
1602258609,-4.020485
1602258610,-4.999538
1602258611,-4.999538
1602258612,-4.999512
1602258613,-4.99949
1602258614,-4.999652
1602258615,-4.999504
1602258616,-4.999539
1602258617,-4.99943
1602258618,-4.999537
1602258619,-4.999547
1602258620,-4.999526
1602258621,-4.999547
1602258622,-4.999476
1602258623,-4.999449
1602258624,-4.999477
1602258625,-4.999507
1602258626,-4.999637
1602258627,-4.999631
1602258628,-4.999552
1602258629,-4.999494
1602258630,-4.999544
1602258631,-4.999605
1602258632,-4.999477
1602258633,-4.999507
1602258634,-4.999692
1602258635,-4.999265
1602258636,-4.99927
1602258637,-4.999472
1602258638,-4.999544
1602258639,-4.999562
1602258640,-5.021792
1602258641,-5.999688
1602258642,-5.999597
1602258643,-5.999588
1602258644,-5.999617
1602258645,-5.999624
1602258646,-5.999623
1602258647,-5.99962
1602258648,-5.999619
1602258649,-5.99962
1602258650,-5.999632
1602258651,-5.999612
1602258652,-5.99924
1602258653,-5.99965
1602258654,-5.999699
1602258655,-5.999645
1602258656,-5.99958
1602258657,-5.999638
1602258658,-5.999621
1602258659,-5.999423
1602258660,-5.999601
1602258661,-5.999785
1602258662,-5.999813
1602258663,-5.999612
1602258664,-5.999622
1602258665,-5.999619
1602258666,-5.999651
1602258667,-5.999627
1602258668,-5.99959
1602258669,-5.999618
1602258670,-5.99962
1602258671,-6.02116
1602258672,-6.999793
1602258673,-6.999608
1602258674,-6.999626
1602258675,-6.999603
1602258676,-6.999615
1602258677,-6.999649
1602258678,-6.999463
1602258679,-6.999764
1602258680,-6.999773
1602258681,-6.999642
1602258682,-6.999634
1602258683,-6.999661
1602258684,-6.999636
1602258685,-6.999648
1602258686,-6.999629
1602258687,-6.999651
1602258688,-6.999679
1602258689,-6.99965
1602258690,-6.999643
1602258691,-6.999645
1602258692,-6.999658
1602258693,-6.999632
1602258694,-6.999648
1602258695,-6.999682
1602258696,-6.99963
1602258697,-6.999641
1602258698,-6.999661
1602258699,-6.999616
1602258700,-6.999625
1602258701,-6.999642
1602258702,-7.021145
1602258703,-7.999789
1602258704,-7.999799
1602258705,-7.999666
1602258706,-7.999653
1602258707,-7.999657
1602258708,-7.999664
1602258709,-7.999645
1602258710,-7.999637
1602258711,-7.999647
1602258712,-7.999661
1602258713,-7.999652
1602258714,-7.999646
1602258715,-7.999571
1602258716,-7.999647
1602258717,-7.999664
1602258718,-7.99964
1602258719,-7.999652
1602258720,-7.999652
1602258721,-7.999652
1602258722,-7.999662
1602258723,-7.999655
1602258724,-7.999619
1602258725,-7.999655
1602258726,-7.999647
1602258727,-7.999652
1602258728,-7.999652
1602258729,-7.999224
1602258730,-7.999663
1602258731,-7.999669
1602258732,-7.999708
1602258733,-8.021656
1602258734,-8.999744
1602258735,-8.99979
1602258736,-8.999673
1602258737,-8.999642
1602258738,-8.999652
1602258739,-8.999652
1602258740,-8.999677
1602258741,-8.999662
1602258742,-8.999691
1602258743,-8.999674
1602258744,-8.999637
1602258745,-8.999693
1602258746,-8.999671
1602258747,-8.99967
1602258748,-8.999646
1602258749,-8.999681
1602258750,-8.99968
1602258751,-8.999635
1602258752,-8.999676
1602258753,-8.999693
1602258754,-8.999677
1602258755,-8.999649
1602258756,-8.999631
1602258757,-8.999687
1602258758,-8.999671
1602258759,-8.999637
1602258760,-8.99967
1602258761,-8.99966
1602258762,-8.999673
