,DA,RT
2016-01-01 00:00:00,29.16,26.02
2016-01-01 00:05:00,29.16,26.02
2016-01-01 00:10:00,29.16,26.02
2016-01-01 00:15:00,29.16,26.01
2016-01-01 00:20:00,29.16,26.01
2016-01-01 00:25:00,29.16,26.01
2016-01-01 00:30:00,29.16,25.77
2016-01-01 00:35:00,29.16,25.77
2016-01-01 00:40:00,29.16,25.77
2016-01-01 00:45:00,29.16,25.83
2016-01-01 00:50:00,29.16,25.83
2016-01-01 00:55:00,29.16,25.83
2016-01-01 01:00:00,28.3,36.3
2016-01-01 01:05:00,28.3,36.3
2016-01-01 01:10:00,28.3,36.3
2016-01-01 01:15:00,28.3,27.29
2016-01-01 01:20:00,28.3,27.29
2016-01-01 01:25:00,28.3,27.29
2016-01-01 01:30:00,28.3,26.72
2016-01-01 01:35:00,28.3,26.72
2016-01-01 01:40:00,28.3,26.72
2016-01-01 01:45:00,28.3,26.62
2016-01-01 01:50:00,28.3,26.62
2016-01-01 01:55:00,28.3,26.62
2016-01-01 02:00:00,31.79,26.41
2016-01-01 02:05:00,31.79,26.41
2016-01-01 02:10:00,31.79,26.41
2016-01-01 02:15:00,31.79,26.51
2016-01-01 02:20:00,31.79,26.51
2016-01-01 02:25:00,31.79,26.51
2016-01-01 02:30:00,31.79,26.58
2016-01-01 02:35:00,31.79,26.58
2016-01-01 02:40:00,31.79,26.58
2016-01-01 02:45:00,31.79,26.53
2016-01-01 02:50:00,31.79,26.53
2016-01-01 02:55:00,31.79,26.53
2016-01-01 03:00:00,32.13,29.15
2016-01-01 03:05:00,32.13,29.15
2016-01-01 03:10:00,32.13,29.15
2016-01-01 03:15:00,32.13,26.91
2016-01-01 03:20:00,32.13,26.91
2016-01-01 03:25:00,32.13,26.91
2016-01-01 03:30:00,32.13,26.94
2016-01-01 03:35:00,32.13,26.94
2016-01-01 03:40:00,32.13,26.94
2016-01-01 03:45:00,32.13,28.06
2016-01-01 03:50:00,32.13,28.06
2016-01-01 03:55:00,32.13,28.06
2016-01-01 04:00:00,31.79,27.24
2016-01-01 04:05:00,31.79,27.24
2016-01-01 04:10:00,31.79,27.24
2016-01-01 04:15:00,31.79,27.57
2016-01-01 04:20:00,31.79,27.57
2016-01-01 04:25:00,31.79,27.57
2016-01-01 04:30:00,31.79,28.12
2016-01-01 04:35:00,31.79,28.12
2016-01-01 04:40:00,31.79,28.12
2016-01-01 04:45:00,31.79,28.78
2016-01-01 04:50:00,31.79,28.78
2016-01-01 04:55:00,31.79,28.78
2016-01-01 05:00:00,38.06,38.07
2016-01-01 05:05:00,38.06,38.07
2016-01-01 05:10:00,38.06,38.07
2016-01-01 05:15:00,38.06,31.8
