# file...... load_node_149.csv
# date...... Mon Jul 15 03:23:20 2019
# user...... (null)
# host...... (null)
# target.... meter 6938
# trigger... (none)
# interval.. 60
# limit..... 0
# timestamp,measured_real_power
2016-07-01 00:00:00 CDT,+661279
2016-07-01 00:01:00 CDT,+722607
2016-07-01 00:02:00 CDT,+720403
2016-07-01 00:03:00 CDT,+703942
2016-07-01 00:04:00 CDT,+699686
2016-07-01 00:05:00 CDT,+289725
2016-07-01 00:06:00 CDT,+281610
2016-07-01 00:07:00 CDT,+278290
2016-07-01 00:08:00 CDT,+276510
2016-07-01 00:09:00 CDT,+273467
2016-07-01 00:10:00 CDT,+421801
2016-07-01 00:11:00 CDT,+420937
2016-07-01 00:12:00 CDT,+416050
2016-07-01 00:13:00 CDT,+412343
2016-07-01 00:14:00 CDT,+412599
2016-07-01 00:15:00 CDT,+367000
2016-07-01 00:16:00 CDT,+368811
2016-07-01 00:17:00 CDT,+362961
2016-07-01 00:18:00 CDT,+352374
2016-07-01 00:19:00 CDT,+355628
2016-07-01 00:20:00 CDT,+329851
2016-07-01 00:21:00 CDT,+342085
2016-07-01 00:22:00 CDT,+333960
2016-07-01 00:23:00 CDT,+319510
2016-07-01 00:24:00 CDT,+321378
2016-07-01 00:25:00 CDT,+339543
2016-07-01 00:26:00 CDT,+343378
2016-07-01 00:27:00 CDT,+343798
2016-07-01 00:28:00 CDT,+341094
2016-07-01 00:29:00 CDT,+341428
2016-07-01 00:30:00 CDT,+314868
2016-07-01 00:31:00 CDT,+317206
2016-07-01 00:32:00 CDT,+317757
2016-07-01 00:33:00 CDT,+316710
2016-07-01 00:34:00 CDT,+315875
2016-07-01 00:35:00 CDT,+310949
2016-07-01 00:36:00 CDT,+311071
2016-07-01 00:37:00 CDT,+310696
2016-07-01 00:38:00 CDT,+316439
2016-07-01 00:39:00 CDT,+317715
2016-07-01 00:40:00 CDT,+335919
2016-07-01 00:41:00 CDT,+343890
2016-07-01 00:42:00 CDT,+326744
2016-07-01 00:43:00 CDT,+312069
2016-07-01 00:44:00 CDT,+310363
2016-07-01 00:45:00 CDT,+339526
2016-07-01 00:46:00 CDT,+358723
2016-07-01 00:47:00 CDT,+355619
2016-07-01 00:48:00 CDT,+344207
2016-07-01 00:49:00 CDT,+341458
2016-07-01 00:50:00 CDT,+329080
2016-07-01 00:51:00 CDT,+329153
2016-07-01 00:52:00 CDT,+331267
2016-07-01 00:53:00 CDT,+332329
2016-07-01 00:54:00 CDT,+323822
2016-07-01 00:55:00 CDT,+340131
2016-07-01 00:56:00 CDT,+333594
2016-07-01 00:57:00 CDT,+349042
2016-07-01 00:58:00 CDT,+351674
2016-07-01 00:59:00 CDT,+351241
2016-07-01 01:00:00 CDT,+321384
2016-07-01 01:01:00 CDT,+322840
2016-07-01 01:02:00 CDT,+323681
2016-07-01 01:03:00 CDT,+329889
2016-07-01 01:04:00 CDT,+366131
2016-07-01 01:05:00 CDT,+360575
2016-07-01 01:06:00 CDT,+363332
2016-07-01 01:07:00 CDT,+364632
2016-07-01 01:08:00 CDT,+369198
2016-07-01 01:09:00 CDT,+384242
2016-07-01 01:10:00 CDT,+383732
2016-07-01 01:11:00 CDT,+377456
2016-07-01 01:12:00 CDT,+375551
2016-07-01 01:13:00 CDT,+366884
2016-07-01 01:14:00 CDT,+368646
2016-07-01 01:15:00 CDT,+451581
2016-07-01 01:16:00 CDT,+444292
2016-07-01 01:17:00 CDT,+453661
2016-07-01 01:18:00 CDT,+461069
2016-07-01 01:19:00 CDT,+457482
2016-07-01 01:20:00 CDT,+390235
2016-07-01 01:21:00 CDT,+375414
2016-07-01 01:22:00 CDT,+382179
2016-07-01 01:23:00 CDT,+381716
2016-07-01 01:24:00 CDT,+378640
2016-07-01 01:25:00 CDT,+348484
2016-07-01 01:26:00 CDT,+355694
2016-07-01 01:27:00 CDT,+365413
2016-07-01 01:28:00 CDT,+372780
2016-07-01 01:29:00 CDT,+376412
2016-07-01 01:30:00 CDT,+405882
2016-07-01 01:31:00 CDT,+398495
2016-07-01 01:32:00 CDT,+404657
2016-07-01 01:33:00 CDT,+400961
2016-07-01 01:34:00 CDT,+382807
2016-07-01 01:35:00 CDT,+359881
2016-07-01 01:36:00 CDT,+368952
2016-07-01 01:37:00 CDT,+372102
2016-07-01 01:38:00 CDT,+375917
2016-07-01 01:39:00 CDT,+363158
2016-07-01 01:40:00 CDT,+349872
2016-07-01 01:41:00 CDT,+349960
2016-07-01 01:42:00 CDT,+347857
2016-07-01 01:43:00 CDT,+354206
2016-07-01 01:44:00 CDT,+363137
2016-07-01 01:45:00 CDT,+357615
2016-07-01 01:46:00 CDT,+343892
2016-07-01 01:47:00 CDT,+346448
2016-07-01 01:48:00 CDT,+369753
2016-07-01 01:49:00 CDT,+427945
2016-07-01 01:50:00 CDT,+421960
2016-07-01 01:51:00 CDT,+432575
2016-07-01 01:52:00 CDT,+434290
2016-07-01 01:53:00 CDT,+424200
2016-07-01 01:54:00 CDT,+432140
2016-07-01 01:55:00 CDT,+444173
2016-07-01 01:56:00 CDT,+437831
2016-07-01 01:57:00 CDT,+453123
2016-07-01 01:58:00 CDT,+426775
2016-07-01 01:59:00 CDT,+461328
2016-07-01 02:00:00 CDT,+470883
2016-07-01 02:01:00 CDT,+434482
2016-07-01 02:02:00 CDT,+490276
2016-07-01 02:03:00 CDT,+483793
2016-07-01 02:04:00 CDT,+504361
2016-07-01 02:05:00 CDT,+475571
2016-07-01 02:06:00 CDT,+468136
2016-07-01 02:07:00 CDT,+438914
2016-07-01 02:08:00 CDT,+456413
